,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015,KCRQ 11/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,79,55,71,M,M,M,M,0.00,0.07,M,M,
3,2,58,71,55,71,M,M,M,M,0.06,0.05,M,M,
4,3,54,67,54,71,M,M,M,M,0.09,0.06,M,M,
5,4,52,66,54,70,M,M,M,M,0.00,0.04,M,M,
6,5,51,69,54,70,M,M,M,M,0.00,0.04,M,M,
7,6,51,74,54,70,M,M,M,M,0.00,0.04,M,M,
8,7,53,75,53,70,M,M,M,M,0.00,0.04,M,M,
9,8,52,70,53,70,M,M,M,M,0.00,0.04,M,M,
10,9,55,68,53,70,M,M,M,M,0.04,0.04,M,M,
11,10,53,64,53,69,M,M,M,M,0.16,0.05,M,M,
12,11,47,74,52,69,M,M,M,M,0.00,0.03,M,M,
13,12,47,71,52,69,M,M,M,M,0.00,0.03,M,M,
14,13,48,72,52,69,M,M,M,M,0.00,0.04,M,M,
15,14,52,75,52,69,M,M,M,M,0.00,0.03,M,M,
16,15,55,68,51,68,M,M,M,M,0.01,0.03,M,M,
17,16,49,62,51,68,M,M,M,M,0.00,0.04,M,M,
18,17,44,66,51,68,M,M,M,M,0.00,0.03,M,M,
19,18,48,73,51,68,M,M,M,M,0.00,0.04,M,M,
20,19,52,76,50,67,M,M,M,M,0.00,0.03,M,M,
21,20,52,76,50,67,M,M,M,M,0.00,0.04,M,M,
22,21,57,84,50,67,M,M,M,M,0.00,0.04,M,M,
23,22,59,82,50,67,M,M,M,M,0.00,0.03,M,M,
24,23,56,77,49,67,M,M,M,M,0.00,0.04,M,M,
25,24,52,67,49,66,M,M,M,M,0.00,0.03,M,M,
26,25,53,62,49,66,M,M,M,M,0.11,0.03,M,M,
27,26,51,61,49,66,M,M,M,M,0.09,0.03,M,M,
28,27,49,60,49,66,M,M,M,M,0.17,0.03,M,M,
29,28,44,64,48,66,M,M,M,M,0.00,0.03,M,M,
30,29,48,65,48,65,M,M,M,M,0.00,0.02,M,M,
31,30,44,67,48,65,M,M,M,M,0.00,0.03,M,M,
32,Average:,51.5,70.2,51.3,68.2,,,,,Total: 0.73,Total: 1.12,,,
